h5ad_var	index
ITM2A	1422
NRDC	1423
VDAC3	1424
PCM1	1425
TNRC6C	1426
CBFA2T2	1427
BRINP1	1428
ITCH	1429
PKD2L2	1430
TP53INP2	1431
SDF4	1432
MYH7B	1433
BPIFB2	1434
TP73	1435
TOLLIP	1436
UBE2D4	1437
CLUL1	1438
RUNX1T1	1439
CDH17	1440
THOC1	1441
FKBP7	1442
OSBPL6	1443
SLC1A3	1444
XRCC5	1445
LXN	1446
SP140	1447
MKNK1	1448
TNS1	1449
REXO1	1450
SAR1A	1451
CDC14A	1452
RAPGEF3	1453
CEACAM1	1454
SENP1	1455
DUSP13	1456
CIC	1457
LIPE	1458
FDFT1	1459
PAFAH1B3	1460
OPHN1	1461
AFM	1462
KIF22	1463
SCGN	1464
CARMIL1	1465
PGM1	1466
DDX1	1467
DNM2	1468
EPB41L2	1469
RIMS1	1470
MOXD1	1471
STX7	1472
RABL2B	1473
KEAP1	1474
DDX43	1475
PTPRH	1476
DCT	1477
SLC35C2	1478
CRYBG3	1479
EPHA6	1480
SCTR	1481
RFX3	1482
RIF1	1483
RAB21	1484
SLC4A4	1485
SMARCA2	1486
RDH8	1487
SESN1	1488
MID2	1489
DNAAF6	1490
COL5A3	1491
SRCAP	1492
PUM3	1493
CPB2	1494
CHRNA3	1495
KCNN2	1496
CNOT4	1497
PSEN1	1498
CPOX	1499
CLDND1	1500
MOK	1501
HSP90AA1	1502
RBL1	1503
DLGAP4	1504
IGSF9B	1505
CFHR2	1506
NDC80	1507
AP4E1	1508
RSBN1	1509
MAGI3	1510
CXCL2	1511
AFP	1512
COL4A4	1513
TCF7	1514
OSTM1	1515
CDH7	1516
IMPG2	1517
PCNP	1518
EXD2	1519
ARG2	1520
MEF2C	1521
PTPRC	1522
CACNA1S	1523
PKP1	1524
UBA5	1525
STK17B	1526
CDC14B	1527
ZNF510	1528
LRP2	1529
ZNF506	1530
JMJD4	1531
DUSP12	1532
AACS	1533
DELE1	1534
SLC13A1	1535
CADPS2	1536
PCDHB4	1537
PCDHA6	1538
PCDHGA2	1539
IFT25	1540
PHLPP1	1541
ATP8B1	1542
IL12RB2	1543
SMARCD3	1544
WDR70	1545
FYB1	1546
MPP4	1547
STRADB	1548
BZW1	1549
PGR	1550
C1QTNF3	1551
ME2	1552
C5orf22	1553
CCNT2	1554
FAM135A	1555
COL19A1	1556
EPB41L3	1557
COBLL1	1558
DLG3	1559
KCNK2	1560
SERTAD4	1561
TRAF5	1562
MRPL22	1563
GEMIN5	1564
OPRK1	1565
NFE2L1	1566
SEMA5B	1567
GSK3B	1568
ITGB5	1569
ERC1	1570
XPO1	1571
RNF13	1572
TRPM3	1573
PALB2	1574
DOP1A	1575
LYRM2	1576
BCKDHB	1577
KAT6A	1578
TUT7	1579
ULK2	1580
GRHL2	1581
TNPO1	1582
PLOD1	1583
P2RX5	1584
ITGAE	1585
DIS3	1586
PIBF1	1587
TDRD3	1588
NUFIP1	1589
PDS5B	1590
OXCT1	1591
RRAGB	1592
EPYC	1593
CYLD	1594
SLC27A5	1595
ZNF324	1596
ZNF671	1597
ZNF416	1598
ZNF586	1599
ZNF446	1600
ZNF264	1601
RPS5	1602
FAT1	1603
YTHDC1	1604
CHMP2B	1605
SMAP2	1606
PPIE	1607
ZMPSTE24	1608
STARD7	1609
NOA1	1610
REST	1611
HAL	1612
SSH1	1613
GSTP1	1614
APLP2	1615
FAM234B	1616
SLCO1A2	1617
WBP11	1618
EIF3I	1619
NKAIN1	1620
COL16A1	1621
TXLNA	1622
APOB	1623
NCOA1	1624
AGBL5	1625
EFR3B	1626
KIF3C	1627
RAB10	1628
GCKR	1629
HADHA	1630
MAPRE3	1631
CAD	1632
CD59	1633
CD82	1634
BCORL1	1635
ATRX	1636
AK6	1637
FCN1	1638
MYNN	1639
MECOM	1640
SCAMP1	1641
PREP	1642
HACE1	1643
SEH1L	1644
WDR47	1645
WDFY1	1646
OVGP1	1647
SLC25A24	1648
MAP3K4	1649
PILRA	1650
IGSF9	1651
ABCB1	1652
ZNF213	1653
AKR1B1	1654
CPNE3	1655
RRN3	1656
CTTN	1657
WNT11	1658
MTIF2	1659
DDHD2	1660
TTC39A	1661
EPS15	1662
ORC1	1663
MGST2	1664
CHERP	1665
ATG16L1	1666
USP40	1667
POMGNT1	1668
RAD54L	1669
MAST2	1670
DNAJA1	1671
B4GALT1	1672
CHMP5	1673
NFX1	1674
AQP6	1675
DIMT1	1676
IPO11	1677
FOLH1	1678
EIF2AK1	1679
NME8	1680
EPDR1	1681
